,0,1
0,622590,404
1,343710,500
2,2076040,500
3,448940,500
4,2183900,200
5,218,404
6,1205550,404
7,1487290,500
8,402390,500
9,510840,500
10,1422450,500
11,2075730,500
12,1638720,500
13,1584640,500
14,1724660,500
15,334210,500
16,1301350,500
17,2258570,500
18,82060,500
19,1642370,500
20,50100,500
21,2001520,500
22,1793660,500
23,696790,500
24,439190,500
25,2074930,500
26,572600,500
27,2078890,500
28,270550,500
29,414460,500
30,42749,404
31,2429660,500
32,444690,500
33,813000,404
34,1816670,500
35,1619990,500
36,245550,500
37,3016800,500
38,5710,500
39,1190340,500
40,2156210,500
41,1820120,500
42,1478540,500
43,368420,500
44,473650,500
45,2878980,200
46,868270,500
47,513780,500
48,2394590,500
49,280640,500
50,576880,500
51,774861,404
52,3070070,200
53,1372880,500
54,1401390,500
55,2322010,200
56,1601580,500
57,2478210,500
58,834150,500
59,34229,404
60,681660,500
61,1015520,500
62,205790,500
63,584210,500
64,1952120,500
65,1531430,500
66,1611740,500
67,466660,500
68,388520,500
69,2641470,200
70,308040,500
71,1840560,500
72,208090,500
73,2515020,200
74,576120,500
75,1672500,200
76,412210,500
77,1934680,200
78,447920,500
79,389300,500
80,1571120,200
81,1004180,500
82,10545,404
83,34009,404
84,1641480,500
85,459910,500
86,203190,500
87,2709440,500
88,243870,500
89,2087030,500
90,444490,500
91,2889840,500
92,329000,500
93,1582170,500
94,1173690,404
95,350470,500
96,2958310,500
97,272350,500
98,47900,500
99,2700330,500
100,1358820,404
101,587830,500
102,385070,500
103,566060,500
104,841860,500
105,71280,500
106,412290,500
107,1995770,500
108,2081110,500
109,429470,500
110,567940,500
111,224540,500
112,2126550,500
113,1600360,500
114,2781320,500
115,2334160,500
116,391660,500
117,656880,500
118,314700,500
119,2385860,500
120,1650980,500
121,43129,404
122,836620,500
123,438020,500
124,311860,500
125,2452260,500
126,717690,500
127,294040,500
128,619340,500
129,406090,500
130,587210,500
131,2989720,500
132,2023830,500
133,647410,500
134,227700,500
135,513590,500
136,347560,500
137,2122820,500
138,420970,500
139,382120,500
140,437220,500
141,340820,500
142,1530870,500
143,204260,500
144,809960,500
145,9810,500
146,528670,500
147,565860,500
148,2437170,200
149,601280,500
